,qid,query
0,156493,Goldfish Tank size Water quality Diet Environment
1,1110199,Wi Fi Bluetooth Wireless technology Internet Devices
2,1063750,United States WWI German submarine warfare Zimmerman Telegram Allies
3,130510,Declaratory judgment Legal rights Court Civil dispute Statutory interpretation
4,489204,Pelvic pain Gynecological issues Gastrointestinal problems Urinary tract Musculoskeletal strains
5,573724,Social determinants Health outcomes Education Income Access to healthcare
6,1133167,Jamaica Tropical climate Wet season Dry season Tourism
7,527433,Dysarthria Cerebral palsy Spastic Ataxic Flaccid
8,1037798,Robert Gray American sea captain Pacific Northwest Columbia River 18th century exploration
9,915593,Sous vide cooking Meats Vegetables Eggs Culinary techniques
10,264014,Flea life cycle Egg Larva Pupa Adult flea
11,1121402,Contour plowing Soil erosion Water runoff Sustainable agriculture Farming technique
12,962179,The Salvation Army William Booth 1865 London Social aid
13,1117099,Active margin Tectonic activity Earthquakes Volcanic eruptions Continental plates
14,148538,RN BSN Nursing education Healthcare Career opportunities
15,451602,Mechanical ventilation Medicare Respiratory support Critical care Patients
16,359349,Midsegment Trapezoid Geometry Bases Mathematical properties
17,1115776,AML surveillance analyst Financial transactions Money laundering Banking Compliance
18,1112341,Daily life in Thailand Buddhism Culture Rice Family and community
19,131843,SIGMET Aviation safety Turbulence Icing Volcanic ash
20,104861,Interior concrete flooring Cost Design Durability Installation
21,833860,Fondue Switzerland Cheese Culinary tradition Social dining
22,207786,Warm blooded sharks Great white shark Mako shark Body temperature Adaptation
23,1132213,Yoga Bow pose Flexibility Strength Back muscles
24,1114819,Durable medical equipment Wheelchairs Oxygen tanks Insurance coverage Patient care
25,183378,Exons Gene expression mRNA Protein synthesis DNA
26,1106007,Visceral pain Internal organs Medical diagnosis Treatment Pain management
27,1124210,Tracheids Xylem Water transport Plant health Vascular tissue
28,287683,Liberty ships Brunswick Georgia WWII Shipbuilding War effort
29,490595,RSA encryption Public key Private key Data security Cryptography
30,1103812,Commonwealth of Independent States Soviet Union 1991 Political cooperation Economic cooperation
31,87181,Left ventricular hypertrophy Hypertension Heart disease Diagnosis Treatment
32,443396,LPS laws California Mental health treatment Involuntary commitment Patient rights
33,87452,Military suicide Mental health issues Service related stressors Prevention Support systems
34,855410,Theraderm Skincare Skin conditions Beauty products Dermatology
35,1114646,Famvir Antiviral medication Herpes virus Outbreak management Pharmaceutical treatment
36,19335,Environment Anthropology Human interactions Cultural practices Social contexts
37,47923,Axon terminals Synaptic knob Neurons Neurotransmission Nervous system
38,405717,Charles de Gaulle Airport Paris International travel Public transport Airport facilities
39,182539,Monotonic function Mathematics Increase Decrease Statistical applications
40,1113437,Spruce tree Conical shape Needles Cones Forestry
41,1129237,Hydrogen Liquid state Temperature Boiling point Energy source
42,146187,McDouble Double Cheeseburger McDonald s Cheese slices Fast food
