,qid,query
0,156493, goldfish growth size tank habitat environment care feeding aquariums pets 
1,1110199, wifi bluetooth wireless networking technology internet range devices comparison connectivity 
2,1063750, WWI US history intervention Lusitania Zimmerman neutrality war causes alliances 
3,130510, declaratory judgment law legal court dispute rights definition jurisdiction preemptive 
4,489204, pain pelvic right medical causes women symptoms abdominal diagnosis health 
5,573724, health social determinants inequality disparities income public policy outcomes factors 
6,1133167, Jamaica weather forecast Caribbean climate temperature tropical travel tourism hurricanes 
7,527433, dysarthria cerebral palsy speech disorder communication neurological types symptoms therapy 
8,1037798, Robert Gray explorer history maritime Columbia River discovery Pacific Northwest 
9,915593, sous vide cooking meat recipes tender technique kitchen temperature food 
10,264014, flea life cycle pest insect eggs larvae pupae pets control 
11,1121402, contour plowing erosion soil water runoff farming agriculture conservation sustainability 
12,962179, Salvation Army founding history charity religion William Booth poverty aid 
13,1117099, active margin geology plate tectonics earthquakes volcanoes boundaries subduction science 
14,148538, RN BSN nursing education degrees healthcare careers medicine jobs comparison 
15,451602, Medicare ventilation mechanical definition healthcare respiratory support equipment coverage insurance 
16,359349, midsegment trapezoid geometry math formula shapes parallel lines calculation theorem 
17,1115776, AML surveillance analyst finance job banking fraud compliance crime detection 
18,1112341, Thailand daily life culture customs food routine people Asia travel 
19,131843, SIGMET aviation weather hazards meteorology pilot warnings safety terminology flight 
20,104861, concrete flooring cost interior home renovation budget options construction design 
21,833860, Switzerland food popular cuisine dish traditional cheese chocolate recipes restaurants 
22,207786, sharks warm blooded thermoregulation endothermic fish biology ocean predator temperature adaptation 
23,1132213, yoga bow pose hold duration flexibility strength exercise breathing practice 
24,1114819, DME durable medical equipment Medicare insurance healthcare home supplies devices 
25,183378, exons biology DNA genes coding introns expression genetics transcription RNA 
26,1106007, visceral organs anatomy biology body internal medical physiology sensation instinct 
27,1124210, tracheids xylem plants water transport vascular tissue biology botany structure 
28,287683, Liberty ships Brunswick Georgia WWII shipbuilding history maritime production war 
29,490595, RSA cryptography encryption security algorithm keys digital signature computer cyber 
30,1103812, CIS Commonwealth Independent States formation USSR collapse Russia countries geopolitics 
31,87181, heart hypertrophy left ventricle causes enlargement disease symptoms blood pressure 
32,443396, LPS laws definition legal conservatorship guardianship rights mental health protection 
33,87452, military suicide causes veterans mental health PTSD stress crisis prevention 
34,855410, Theraderm medication uses skin cream treatment conditions prescription side effects 
35,1114646, Famvir uses herpes medication antiviral dosage treatment virus prescription shingles 
36,19335, environment anthropology definition human culture adaptation interaction society ecology systems 
37,47923, axon terminals synaptic knob definition neuron neurotransmitter biology anatomy brain 
38,405717, CDG airport Paris location travel France flights transportation Charles de Gaulle 
39,182539, monotonic function example math increasing decreasing calculus algebra definition graph 
40,1113437, spruce tree description appearance wood conifer needles identification pine evergreen 
41,1129237, hydrogen liquid temperature boiling point element chemistry physics freezing state 
42,146187, McDouble Double Cheeseburger McDonald s difference menu burger fast food comparison 
