,qid,query
0,156493, Goldfish Tank size Water quality Nutrition 
1,1110199, WiFi Bluetooth Frequency bands Low power connections 
2,1063750, World War I Germany Submarine warfare Zimmermann Telegram 
3,130510, Declaratory judgments Legal positions Rights Legal disputes 
4,489204, Pelvic pain Ovarian cysts Appendicitis Diagnosis 
5,573724, Social determinants Healthcare access Economic status Health inequalities 
6,1133167, Jamaica Tropical climate Altitude Hurricane season 
7,527433, Dysarthria Cerebral palsy Speech clarity Communication devices 
8,1037798, Robert Gray Northwest coast Exploration Maritime fur trade 
9,915593, Sous vide cooking Vacuum sealing Precise water bath Immersion circulators 
10,264014, Flea life cycle Egg stage Pupa Adult fleas 
11,1121402, Contour plowing Soil erosion Water runoff Soil fertility 
12,962179, The Salvation Army William Booth Catherine Booth Social services 
13,1117099, Active margins Tectonic activity Convergent plate boundaries Subduction zones 
14,148538, RN Registered Nurse BSN Bachelor of Science in Nursing Associate s degree Bachelor s degree 
15,451602, Medicare Mechanical ventilation Respiratory failure Healthcare coverage 
16,359349, Midsegment Trapezoid Parallel sides Geometry 
17,1115776, AML Anti Money Laundering Surveillance analysts Financial transactions Regulations 
18,1112341, Thai daily life Buddhism Thai cuisine Festivals 
19,131843, SIGMET alerts Pilot safety Weather phenomena Flight route planning 
20,104861, Interior concrete flooring Durability Design Installation 
21,833860, Swiss cuisine Fondue Raclette Swiss chocolate 
22,207786, Shark species Regional endothermy Great white shark Thermal adaptation 
23,1132213, Bow pose Dhanurasana Yoga duration Flexibility Strength Practice level Instructor guidance 
24,1114819, Durable medical equipment Wheelchairs Hospital beds Prosthetics 
25,183378, Exons DNA sequences Gene expression Splicing 
26,1106007, Visceral anatomy Internal organs Body cavities Visceral pain 
27,1124210, Tracheids Plant cells Xylem tissue Water transport 
28,287683, Liberty ships Brunswick World War II Shipbuilding industry Allies Historical records 
29,490595, RSA encryption Public key cryptography Prime numbers Digital communication 
30,1103812, Commonwealth of Independent States Former Soviet republics Eurasia Economic cooperation 
31,87181, Left ventricular hypertrophy Heart s left ventricle High blood pressure Imaging tests 
32,443396, LPS laws Lipopolysaccharides Immune system Inflammation 
33,87452, Military suicides Combat stress Mental health issues Social isolation 
34,855410, TheraDerm Skincare product Moisturizing Skin conditions 
35,1114646, Famvir Prescription medication Herpes simplex Herpes zoster 
36,19335, Anthropological study Human interactions Cultural impacts Sustainable practices 
37,47923, Axon terminals Synaptic knobs Nerve cells Neurotransmitters 
38,405717, Charles de Gaulle Airport International airport Paris France Airline services 
39,182539, Monotonic functions Mathematical analysis Function behaviors Engineering applications 
40,1113437, Spruce trees Coniferous evergreens Timber production Christmas trees 
41,1129237, Hydrogen Liquid state Cryogenic liquid Industrial applications 
42,146187, McDouble Double cheeseburger McDonald s Fast food items 
