,qid,query
0,156493, goldfish grow size habitat tank environment feeding care 
1,1110199, WiFi Bluetooth comparison wireless technologies speed range connectivity 
2,1063750, US WW1 entry reasons involvement events warfare 
3,130510, declaratory judgment legal definition lawsuit court decision 
4,489204, right pelvic pain causes abdominal health symptoms diagnosis treatment 
5,573724, social determinants health factors economic environmental community education 
6,1133167, Jamaica weather climate temperature rainfall seasons forecast 
7,527433, dysarthria cerebral palsy types speech disorder neurological 
8,1037798, Robert Gray identity person history biography achievements contributions 
9,915593, sous vide cooking foods temperature method taste texture 
10,264014, flea life cycle duration stages eggs larvae pupae adult 
11,1121402, contour plowing soil erosion farming agriculture slope water runoff conservation 
12,962179, Salvation Army foundation establishment charity mission philanthropy organization 
13,1117099, active margin geology plate tectonics earthquake subduction continental crust 
14,148538, RN BSN nursing degree education healthcare career training 
15,451602, Medicare mechanical ventilation healthcare coverage respiratory support patients 
16,359349, midsegment trapezoid geometry parallel bases length formula 
17,1115776, AML surveillance analyst financial monitoring compliance banking risk investigation transactions 
18,1112341, daily life Thai people culture traditions customs society food 
19,131843, SIGMET aviation meteorological advisory weather flight hazard pilots 
20,104861, interior concrete flooring construction cost materials design stain maintenance 
21,833860, Switzerland popular food cuisine chocolate cheese fondue raclette 
22,207786, sharks warm blooded thermoregulation species metabolism adaptation ocean 
23,1132213, bow pose yoga duration flexibility strength practice level instructor guidance 
24,1114819, durable medical equipment healthcare medical devices mobility assistive rehabilitation insurance 
25,183378, exons biology genetics DNA genes protein splice 
26,1106007, visceral anatomy internal organs abdomen organs sensory nerves 
27,1124210, tracheids botany plant structure xylem tissue conduction plants 
28,287683, Liberty ships Brunswick World War II shipbuilding industry Allies historical records 
29,490595, RSA key definition encryption cryptographic security algorithm keys 
30,1103812, Commonwealth of Independent States formation countries former Soviet Union alliance post Soviet 
31,87181, left ventricular hypertrophy heart condition causes enlargement cardiac hypertension disease 
32,443396, LPS laws definition regulations endotoxins gram negative bacteria immune system 
33,87452, military suicide causes prevention PTSD mental health support intervention 
34,855410, TheraDerm uses skincare dermatology treatment moisturizer skin conditions 
35,1114646, Famvir prescription medication antiviral herpes shingles treatment 
36,19335, anthropological definition environment cultural human societies ecological study 
37,47923, axon terminals synaptic knob neuroscience nerve cells communication transmission synapse 
38,405717, CDG airport Paris location Charles de Gaulle transportation air travel France 
39,182539, monotonic function mathematics behavior increasing decreasing sequence curve 
40,1113437, physical description spruce tree botany coniferous evergreen needles wood 
41,1129237, hydrogen liquid state temperature element gas boiling point chemical 
42,146187, McDouble double cheeseburger fast food McDonald s menu burger ingredients 
