,qid,query
0,156493, Goldfish Growth rate Species Environment 
1,1110199, WiFi Bluetooth Wireless protocols Range Data transfer 
2,1063750, World War I US foreign policy Zimmerman Telegram Lusitania sinking U boats 
3,130510, Declaratory judgment Legal disputes Court rulings Rights clarification 
4,489204, Pelvic pain Appendicitis Ovarian cysts Endometriosis UTI Medical diagnosis 
5,573724, Social determinants of health Healthcare access Income Education Social support Environment 
6,1133167, Jamaica Weather Temperature Humidity Forecast 
7,527433, Dysarthria Cerebral palsy Speech disorders Spasticity Ataxic Motor control 
8,1037798, Robert Gray Explorer Maritime history Columbia River Pacific Northwest 
9,915593, Sous vide Meat Fish Vegetables Eggs Cooking techniques 
10,264014, Flea Lifecycle Eggs Larva Pupa Adult flea 
11,1121402, Contour plowing Soil erosion Runoff Water infiltration Agricultural practices 
12,962179, Salvation Army William Booth Catherine Booth Charity Religious organization 
13,1117099, Active margin Plate tectonics Subduction Earthquakes Volcanoes 
14,148538, RN BSN Nursing education Scope of practice Healthcare roles 
15,451602, Medicare Mechanical ventilation Respiratory support Insurance coverage Medical definitions 
16,359349, Midsegment Trapezoid Geometry Median 
17,1115776, AML Surveillance Analyst Anti Money Laundering Financial crime Compliance 
18,1112341, Thailand Daily life Culture Food Traditions 
19,131843, SIGMET Aviation Weather hazards Meteorology Warnings 
20,104861, Interior concrete flooring Cost Home improvement Flooring types Polished concrete 
21,833860, Swiss cuisine Fondue Raclette R sti Swiss chocolate 
22,207786, Warm blooded sharks Thermoregulation Shark physiology Lamnidae Endothermy 
23,1132213, Bow pose Yoga Duration Breathing Form Stretching 
24,1114819, Durable medical equipment Healthcare Medicare Insurance Wheelchairs Oxygen 
25,183378, Exons Genes DNA RNA Protein coding 
26,1106007, Visceral Anatomy Organs Internal 
27,1124210, Tracheids Xylem Plant biology Vascular tissue Water transport 
28,287683, Liberty ships Brunswick World War II Shipbuilding Maritime history 
29,490595, RSA Cryptography Encryption Public key cryptography Algorithms 
30,1103812, Commonwealth of Independent States Former Soviet Union Russia Belarus Ukraine 
31,87181, Left ventricular hypertrophy Hypertension Aortic stenosis Heart disease Cardiomyopathy 
32,443396, LPS laws Loss Prevention Retail Security Legal definitions 
33,87452, Military suicide Mental health PTSD Stress Trauma Risk factors 
34,855410, Theraderm Medication Skin conditions Topical treatment 
35,1114646, Famvir Antiviral medication Herpes Shingles Prescription drugs 
36,19335, Environment anthropology Human environment interactions Cultural ecology Social systems Adaptation 
37,47923, Axon terminal Synaptic knob Neuron Neurotransmitters Signal transmission 
38,405717, CDG Airport Paris Charles de Gaulle Airport Travel Location 
39,182539, Monotonic function Mathematics Increasing function Decreasing function 
40,1113437, Spruce Tree Conifer Needles Wood 
41,1129237, Hydrogen Liquefaction point Temperature States of matter Physical properties 
42,146187, McDouble Double Cheeseburger McDonald s Fast food Nutrition 
