,qid,query
0,156493, Goldfish Central subject of the query seeking information about their growth Aquarium Habitat where goldfish are commonly kept impacting their growth Fish tank size Relates to goldfish growth and living conditions Water temperature Critical for the health and growth of goldfish 
1,1110199, WiFi Wireless technology used for internet connectivity Bluetooth Wireless communication standard for short distances Frequency bands Different channels used for signal transmission Low power connections Energy efficient options for wireless communication 
2,1063750, World War I Main historical event inquired about in the query United States Country involved in World War I Submarine warfare A tactic utilized during World War I Zimmermann Telegram Event influencing the US decision to enter the war 
3,130510, Declaratory judgments Legal term referring to court decisions Legal positions Concerning stances or arguments within a legal context Rights Entitlements or claims within a legal framework Legal disputes Conflicts or controversies resolved through legal means 
4,489204, Pelvic pain Primary symptom in the query Ovarian cysts Potential cause of pelvic pain Appendicitis Another probable cause of right pelvic pain Diagnosis Methods to determine the cause of pelvic pain 
5,573724, Social determinants Factors impacting health beyond medical care Healthcare access Availability of medical services Economic status Financial situation affecting health Health inequalities Disparities in health outcomes among different groups 
6,1133167, Jamaica Location related to the weather query Tropical climate Climate description of Jamaica Altitude Impacts weather conditions in various regions Hurricane season Period prone to hurricanes in the region 
7,527433, Dysarthria Speech disorder linked to cerebral palsy Cerebral palsy Neurological condition affecting speech and movement Speech clarity Affected by dysarthria Communication devices Tools to assist individuals with dysarthria 
8,1037798, Robert Gray Possibly a historical figure or name Northwest coast Geographical area related to Robert Gray Exploration Possibly referring to historical explorations Maritime fur trade Trade activity in the mentioned region 
9,915593, Sous vide cooking Method involving vacuum sealing food and precise water temperature Vacuum sealing Process of removing air before cooking food Precise water bath Maintaining consistent temperature while cooking Immersion circulators Devices used for sous vide cooking 
10,264014, Flea life cycle Various stages in the life of fleas Egg stage Initial phase in the life cycle of fleas Pupa Stage of flea development Adult fleas Mature stage of the flea life cycle 
11,1121402, Contour plowing Farming technique to prevent soil erosion Soil erosion Natural process causing loss of topsoil Water runoff Movement of water over the land surface Soil fertility The ability of soil to sustain plant growth 
12,962179, The Salvation Army A charitable organization providing social services William Booth Founder of The Salvation Army Catherine Booth Co founder of The Salvation Army Social services Programs to assist the needy 
13,1117099, Active margins Tectonic plate boundaries with geological activity Tectonic activity Movement and deformation of Earth s crust Convergent plate boundaries Plates moving towards each other Subduction zones Areas where one tectonic plate is forced beneath another 
14,148538, RN Registered Nurse Healthcare professional with a nursing degree BSN Bachelor of Science in Nursing Advanced nursing degree Associate s degree Lower level academic qualification Bachelor s degree Higher level academic qualification 
15,451602, Medicare Health insurance program in the United States Mechanical ventilation Medical procedure to assist breathing Respiratory failure Inability to breathe adequately Healthcare coverage Extent of medical insurance 
16,359349, Midsegment Line segment connecting midpoints of two sides of a trapezoid Trapezoid Quadrilateral with one pair of parallel sides Parallel sides Two sides of a trapezoid that are parallel Geometry Branch of mathematics dealing with shapes and sizes 
17,1115776, AML Anti Money Laundering Efforts to prevent illegal money activities Surveillance analysts Professionals monitoring financial transactions Financial transactions Money related activities Regulations Rules governing financial practices 
18,1112341, Thai daily life Routine and activities of Thai people Buddhism Dominant religion in Thailand Thai cuisine Traditional food of Thailand Festivals Celebrations and events in Thai culture 
19,131843, SIGMET alerts Notices indicating hazardous weather conditions for aviation Pilot safety Concerns for ensuring safety during flight Weather phenomena Various atmospheric occurrences Flight route planning Determining the path of an aircraft 
20,104861, Interior concrete flooring Flooring using concrete indoors Durability Ability to withstand wear and tear Design Aesthetic and structural planning Installation Process of putting in place 
21,833860, Swiss cuisine Traditional dishes of Switzerland Fondue A popular Swiss melted cheese dish Raclette Another famous Swiss melted cheese meal Swiss chocolate Renowned chocolate produced in Switzerland 
22,207786, Shark species Different types of sharks Regional endothermy Ability to maintain warmth in specific body parts Great white shark A well known shark species Thermal adaptation Adjustment to varying temperatures 
23,1132213, Bow pose Dhanurasana Central subject of the query seeking information about duration Yoga duration Specific aspect of the bow pose being queried Flexibility Influences the duration one can comfortably hold the bow pose Strength Determines the ability to maintain the bow pose for an extended period Practice level Experience level in yoga practice affecting the duration of holding poses Instructor guidance Importance of receiving proper instruction for safe and effective yoga practice 
24,1114819, Durable medical equipment Long lasting medical aids Wheelchairs Mobility devices for people with limited mobility Hospital beds Specialized beds used in medical facilities Prosthetics Artificial limbs or body parts 
25,183378, Exons Coding regions in DNA DNA sequences Specific arrangements of nucleotides Gene expression Process converting DNA to functional proteins Splicing Process of removing introns from RNA 
26,1106007, Visceral anatomy Structure and arrangement of internal organs Internal organs Organs located inside the body Body cavities Hollow spaces within the body Visceral pain Pain arising from internal organs 
27,1124210, Tracheids Plant cells responsible for water transport Plant cells Basic units of plant structure Xylem tissue Part of the plant vascular system Water transport Movement of water within plants 
28,287683, Liberty ships Central subject of the query seeking information about their construction Brunswick Location where the construction of Liberty ships took place World War II Historical context in which Liberty ships were built Shipbuilding industry Relevant industry involved in the construction of Liberty ships Allies Beneficiaries of the Liberty ships during World War II Historical records Sources containing information about the number of Liberty ships built in Brunswick 
29,490595, RSA encryption Public key cryptographic algorithm Public key cryptography Encryption method using key pairs Prime numbers Numbers with only two divisors Digital communication Communication using electronic devices 
30,1103812, Commonwealth of Independent States Association of former Soviet republics Former Soviet republics Nations previously part of the USSR Eurasia Landmass encompassing Europe and Asia Economic cooperation Collaborative efforts for financial growth 
31,87181, Left ventricular hypertrophy Enlargement of the heart s left pumping chamber Cardiac conditions Health issues related to the heart Hypertension High blood pressure leading to cardiac changes Heart health Factors influencing cardiovascular well being 
32,443396, LPS Lipopolysaccharide Molecule found in bacterial cell walls Toxin Harmful substance produced by bacteria Immune response Body s reaction to foreign substances Bacterial infections Diseases caused by bacteria 
33,87452, Military suicide Instances of suicide within the armed forces PTSD Post Traumatic Stress Disorder Mental health condition linked to trauma Mental health in the military Psychological well being of service members Stress management Techniques to handle mental strain 
