,qid,query
0,156493,Yes goldfish can grow. They can grow to be up to 18 inches long.
1,1110199,Wi Fi and Bluetooth are both wireless technologies that can be used to connect devices. However they have some key differences. Wi Fi is typically used for longer range applications such as connecting to the internet or streaming video. Bluetooth is typically used for shorter range applications such as connecting to a wireless speaker or headphones.
2,1063750,The United States entered World War I in 1917. There were several reasons for this including the sinking of the Lusitania the Zimmermann Telegram and the resumption of unrestricted submarine warfare by Germany.
3,130510,A declaratory judgment is a court order that declares the rights and liabilities of the parties in a dispute. It is not a judgment for money damages.
4,489204,There are many possible causes of right pelvic pain including Appendicitis Endometriosis Ectopic pregnancy Ovarian cyst Pelvic inflammatory disease PID Sexually transmitted infections STIs Urinary tract infections UTIs Muscle strains
5,573724,The social determinants of health are the social and economic factors that influence health outcomes. These factors include things like Income and wealth Education Employment Housing Transportation Food security Access to healthcare Social support Discrimination
6,1133167,The weather in Jamaica is tropical. The average temperature is around 80 degrees Fahrenheit. The island is subject to hurricanes in the summer and fall.
7,527433,There are several types of dysarthria that can be caused by cerebral palsy. These include Spastic dysarthria This is the most common type of dysarthria. It is caused by muscle stiffness and weakness. Athetoid dysarthria This type of dysarthria is caused by involuntary muscle movements. Ataxic dysarthria This type of dysarthria is caused by problems with muscle coordination. Mixed dysarthria This type of dysarthria is a combination of two or more of the other types of dysarthria.
8,1037798,Robert Gray was an American explorer who is best known for his discovery of the Columbia River.
9,915593,You can cook many types of food sous vide. Some popular options include steak chicken fish vegetables and eggs.
10,264014,The life cycle of a flea is about 100 days.
11,1121402,Contour plowing can reduce soil erosion by creating ridges on the land that trap water and prevent it from running off.
12,962179,The Salvation Army was founded in 1865.
13,1117099,In geology an active margin is a region where the Earth s tectonic plates are moving apart. This can lead to earthquakes volcanic eruptions and mountain building.
14,148538,A registered nurse RN is a nurse who has completed a nursing program and passed the National Council Licensure Examination for Registered Nurses NCLEX RN . A Bachelor of Science in Nursing BSN is a four year degree that prepares nurses for leadership and advanced practice roles.
15,451602,Medicare defines mechanical ventilation as the provision of positive pressure ventilation to a patient who is unable to breathe on their own.
16,359349,The midsegment of a trapezoid is the line segment that connects the midpoints of the two bases.
17,1115776,An AML anti money laundering surveillance analyst is responsible for monitoring financial transactions for suspicious activity that may indicate money laundering.
18,1112341,The daily life of Thai people varies depending on their location occupation and social status. However there are some common aspects of Thai daily life. Most Thai people wake up early and start their day with a bowl of rice porridge. They typically work long hours often six days a week. After work they may spend time with their families or friends or they may relax at home. Thai people also enjoy spending time outdoors and they often participate in traditional festivals and ceremonies.
19,131843,A SIGMET is a weather advisory issued by a meteorological agency to warn of potentially hazardous weather conditions that may affect aviation.
20,104861,The cost of interior concrete flooring can vary depending on the size and complexity of the project the type of concrete used and the labor costs involved.
21,833860,The most popular food in Switzerland varies depending on the region. However some of the most popular dishes include fondue raclette and chocolate.
22,207786,Some sharks are warm blooded because they have a specialized organ called the rete mirabile. The rete mirabile helps to conserve heat by allowing the shark to warm its blood before it reaches its gills. This allows the shark to maintain a higher body temperature than the surrounding water which gives it an advantage in hunting and avoiding predators.
23,1132213,Holding the bow pose dhanurasana in yoga unlocks benefits like flexibility strength and digestion. Optimal hold time varies based on individual factors like strength experience and yoga style. Beginners should prioritize safety and proper form over longer holds. Explore variations modifications and breathing techniques to maximize benefits and enjoy your practice 
24,1114819,Durable medical equipment DME is defined by Medicare as any medical equipment that is used to Improve the function of a malformed body part Treat or slow the progression of an illness or injury Assist an individual with disabilities in performing activities of daily living
25,183378,In biology an exon is a region of a gene that contains coding sequences for proteins. Exons are separated by non coding regions called introns. During gene expression the introns are removed and the exons are spliced together to form a mature messenger RNA mRNA molecule. The mRNA molecule is then used to translate the protein sequence encoded by the gene.
26,1106007,Visceral is defined as relating to the internal organs of the body especially those of the abdomen.
27,1124210,Tracheids are part of the xylem tissue in plants. They are elongated cells with thick walls that transport water and nutrients.
28,287683,During World War II shipyards in Brunswick Maine played a crucial role in constructing Liberty ships vital cargo vessels for the Allied forces. The exact number built varies depending on the specific Brunswick and construction period. These iconic ships faced challenges but had a significant impact earning the nickname ugly ducklings that won the war. Discover their design production and historical significance.
29,490595,In cryptography an RSA key is a public and private key pair that is used for secure communication. The public key is used to encrypt messages and the private key is used to decrypt them.
30,1103812,The Commonwealth of Independent States CIS is an intergovernmental organization formed by several former Soviet republics after the dissolution of the Soviet Union in 1991.
31,87181,Left ventricular hypertrophy is a condition in which the left ventricle of the heart becomes enlarged. This can be caused by a number of factors including high blood pressure heart valve disease and cardiomyopathy.
32,443396,The Least Publishable Unit LPU laws are a set of legal principles that govern the publication of scientific research. These principles state that researchers should only publish their findings in reputable scientific journals and that they should avoid publishing their work in predatory journals.
33,87452,Military suicide is a complex issue with a number of contributing factors. These factors can include combat stress post traumatic stress disorder PTSD and access to firearms.
34,855410,Theraderm is a brand of skin care products that are designed to treat a variety of skin conditions including acne eczema and psoriasis.
35,1114646,Famvir is a prescription medication used to treat shingles and genital herpes.
36,19335,In anthropology the environment is defined as the sum of all the external factors that influence the life of an individual or group.
37,47923,Axon terminals also known as synaptic knobs are the specialized structures at the end of an axon that release neurotransmitters. Neurotransmitters are chemicals that allow neurons to communicate with each other.
38,405717,Yes CDG Airport Charles de Gaulle Airport is the main airport in Paris.
39,182539,An example of a monotonic function is the natural logarithm function. The natural logarithm function is always increasing which means that the output of the function will always be greater than the input.
40,1113437,Spruce trees are typically tall and slender with a conical shape. They have needles that are arranged in a spiral pattern around the branches. The needles are dark green in color and have a sharp point.
41,1129237,Hydrogen is a liquid below 252.87 degrees Celsius.
42,146187,The McDouble and Double Cheeseburger are both McDonald s hamburgers that contain two beef patties cheese pickles onions and ketchup on a sesame seed bun. The main difference between the two hamburgers is that the McDouble does not have mustard while the Double Cheeseburger does.
