,qid,query
0,156493, Goldfish Growth Fish Biology Aquarium Care Goldfish Lifespan Goldfish Species Optimal Tank Size Water Parameters Fish Diseases Overfeeding 
1,1110199, WiFi Bluetooth Wireless Technology Networking Signal Range Data Transfer Device Compatibility Internet of Things IoT Security Frequency Bands 
2,1063750, World War I US History International Relations Diplomacy Neutrality Lusitania Zimmerman Telegram US Foreign Policy Propaganda Wartime Economy 
3,130510, Declaratory Judgment Legal Definition Law Court Procedures Precedent Legal Remedies Actual Controversy Jurisdiction Civil Procedure Contracts 
4,489204, Right Pelvic Pain Medical Symptoms Women s Health Appendicitis Ovarian Cysts Endometriosis Kidney Stones Urinary Tract Infection UTI Ectopic Pregnancy Gastrointestinal Issues 
5,573724, Social Determinants of Health Public Health Healthcare Social Factors Health Disparities Income Inequality Education Housing Neighborhood Environment Access to Care 
6,1133167, Jamaica Weather Travel Climate Temperature Rainfall Hurricane Season Tourism Beaches Tropical 
7,527433, Dysarthria Cerebral Palsy Speech Disorders Neurological Conditions Spasticity Ataxic Dysarthria Muscle Weakness Motor Control Speech Therapy Assistive Technology 
8,1037798, Robert Gray History Explorers Maritime History Pacific Northwest Columbia River Fur Trade American History Ship Captain Navigation 
9,915593, Sous Vide Cooking Techniques Meat Vegetables Tenderness Precision Cooking Food Safety Recipes Equipment Flavor 
10,264014, Flea Life Cycle Insect Biology Pest Control Eggs Larvae Pupae Adult Flea Hosts Bites 
11,1121402, Contour Plowing Soil Erosion Agriculture Conservation Practices Topography Water Runoff Sustainable Farming Soil Health Crop Yields 
12,962179, Salvation Army History Charity Religion William Booth Social Services Christian Organization Homelessness Disaster Relief Fundraising 
13,1117099, Active Margin Plate Tectonics Geology Earth Science Subduction Zones Convergent Boundaries Volcanoes Earthquakes Ocean Trenches Mountain Formation 
14,148538, RN BSN Nursing Healthcare Education Patient Care Career Advancement Scope of Practice Salary Specialization 
15,451602, Medicare Mechanical Ventilation Healthcare Coverage Respiratory Failure Medical Equipment Insurance Reimbursement Intubation Critical Care Pulmonary Diseases 
16,359349, Trapezoid Geometry Midsegment Parallel Lines Polygons Quadrilaterals Median Triangles Measurement Proofs 
17,1115776, AML Surveillance Analyst Anti Money Laundering Financial Crime Compliance Banking Regulations Suspicious Activity Reports SARs Risk Assessment 
18,1112341, Thailand Daily Life Culture Food Religion Buddhism Family Traditions Bangkok Tourism 
19,131843, SIGMET Aviation Weather Meteorology Hazards Turbulence Icing Volcanic Ash Navigation Pilot Safety 
20,104861, Interior Concrete Flooring Cost Home Improvement Construction Square Footage Polishing Staining Sealing Contractors Durability 
21,833860, Switzerland Popular Food Cuisine Cheese Fondue Raclette R sti Chocolate Alpine Food Regional Dishes 
22,207786, Sharks Warm Blooded Fish Biology Thermoregulation Metabolism Mako Sharks Great White Sharks Endothermy Adaptations Marine Predators 
23,1132213, Yoga Bow Pose Asana Duration Breath Backbend Flexibility Core Strength Yoga Practice Modifications 
24,1114819, Durable Medical Equipment Healthcare Medicare Insurance Wheelchairs Walkers Hospital Beds Oxygen Supplies Home Care 
25,183378, Exons Biology Genetics DNA RNA Protein Coding Gene Expression Transcription Splicing Introns 
26,1106007, Visceral Anatomy Organs Internal Visceral Fat Visceral Pain Smooth Muscle Physiology Medical Terminology 
27,1124210, Tracheids Xylem Vascular Plants Water Transport Plant Anatomy Botany Cell Structure Lignin Plant Physiology 
28,287683, Liberty Ships Brunswick World War II Shipbuilding Maritime History US Industrial Production Georgia Shipyards Wartime Economy 
29,490595, RSA Encryption Cryptography Public Key Private Key Algorithms Mathematics Computer Security Digital Signatures 
30,1103812, Commonwealth of Independent States Soviet Union Collapse of USSR Geopolitics Russia Belarus Ukraine Post Soviet States International Organization 
31,87181, Left Ventricular Hypertrophy Hypertension Heart Disease Cardiology Aortic Stenosis Risk Factors Symptoms Diagnosis Treatment 
32,443396, LPS Conservatorship Mental Health Law Involuntary Treatment Due Process Civil Rights Legal Definition Lanterman Petris Short Act California 
33,87452, Military Suicide Mental Health PTSD Depression Veterans Combat Stress Trauma Risk Factors Prevention Crisis Intervention 
34,855410, Theraderm Medication Skin Conditions Psoriasis Topical Cream Pharmacology Uses Side Effects Prescription 
35,1114646, Famvir Medication Antiviral Herpes Shingles Genital Herpes Pharmacology Dosage Side Effects 
36,19335, Anthropology Environment Culture Human Environment Interactions Ecology Adaptation Resources Sustainability Social Systems 
37,47923, Axon Terminals Synaptic Knob Neurons Neurotransmitters Synapse Action Potential Neural Communication Brain Nervous System 
38,405717, CDG Airport Paris France Travel Airport Location Transportation Charles de Gaulle Airport Geography 
39,182539, Monotonic Function Mathematics Increasing Decreasing Calculus Graphs Examples 
40,1113437, Spruce Trees Conifers Needles Evergreen Wood Timber Identification Landscaping 
41,1129237, Hydrogen Liquid Temperature Boiling Point Phase Changes Chemistry Physics 
42,146187, McDouble Double Cheeseburger McDonald s Fast Food Ingredients Nutrition Comparison Menu 
