,qid,query
0,156493, Goldfish can grow up to 18 inches long. Goldfish are cold water fish and can live for 10 20 years with proper care. Goldfish come in a variety of colors including orange white black and red. Goldfish have a good memory and can recognize their owners. Goldfish are social creatures and do best when kept with other goldfish. 
1,1110199, Wi Fi is a wireless networking technology that uses radio waves to transmit data. Bluetooth is a wireless networking technology that uses short range radio waves to connect devices. Wi Fi is typically used for longer range applications such as connecting to the internet or streaming video. Bluetooth is typically used for shorter range applications such as connecting to headphones or speakers. Both Wi Fi and Bluetooth are popular technologies for connecting devices wirelessly. 
2,1063750, The sinking of the Lusitania was one of the reasons the US entered WWI. The Zimmermann Telegram was a message intercepted by British intelligence that convinced the US that Germany was planning to attack Mexico and encourage them to declare war on the US. The resumption of unrestricted submarine warfare by Germany was another factor that led the US to enter the war. Public opinion in the US was increasingly turning against Germany in the months leading up to the US declaration of war. President Woodrow Wilson believed that the US had a moral obligation to enter the war to help defeat Germany and make the world safe for democracy. 
3,130510, A declaratory judgment is a court order that declares the rights and liabilities of the parties in a dispute. It is not a judgment for money damages. Declaratory judgments can be used to resolve legal questions before a dispute arises. They can also be used to clarify the meaning of a contract or statute. Declaratory judgments are a useful tool for resolving legal disputes efficiently and effectively. 
4,489204, Possible causes of right pelvic pain include appendicitis endometriosis ectopic pregnancy ovarian cyst and pelvic inflammatory disease PID . Other possible causes include sexually transmitted infections STIs urinary tract infections UTIs and muscle strains. It is important to see a doctor if you are experiencing right pelvic pain. 
5,573724, The social determinants of health include income and wealth education employment housing transportation food security access to healthcare social support and discrimination. These factors have a significant impact on people s health and well being. Addressing the social determinants of health is essential to achieving health equity. There are a number of things that can be done to address the social determinants of health such as investing in education creating jobs and providing affordable housing. 
6,1133167, The weather in Jamaica is tropical with an average temperature of around 80 degrees Fahrenheit. The island is subject to hurricanes in the summer and fall. Jamaica is a popular tourist destination known for its beaches rainforests and mountains. The island is also home to a diverse culture and a rich history. 
7,527433, Cerebral palsy can cause several types of dysarthria including spastic dysarthria athetoid dysarthria ataxic dysarthria and mixed dysarthria. Spastic dysarthria is the most common type of dysarthria. It is caused by muscle stiffness and weakness. Athetoid dysarthria is caused by involuntary muscle movements. Ataxic dysarthria is caused by problems with muscle coordination. Mixed dysarthria is a combination of two or more of the other types of dysarthria. 
8,1037798, Robert Gray was an American explorer. He was the first American to circumnavigate the globe. He discovered the Columbia River. He is considered one of the most important explorers in American history. 
9,915593, You can cook many types of food sous vide including steak chicken fish vegetables and eggs. Sous vide cooking is a precise cooking method that involves cooking food in a vacuum sealed bag in a water bath. This method ensures that food is cooked to the desired temperature evenly throughout. Sous vide cooking is becoming increasingly popular in restaurants and homes. 
10,264014, The life cycle of a flea is about 100 days. Fleas lay eggs that hatch into larvae. The larvae feed on organic matter and then spin cocoons. The adult fleas emerge from the cocoons and begin to feed on blood. Fleas can transmit diseases to humans and animals. 
11,1121402, Contour plowing can reduce soil erosion by creating ridges on the land that trap water and prevent it from running off. This is important for preserving topsoil and preventing the pollution of waterways. Contour plowing is often used in conjunction with other conservation practices such as terracing and cover cropping. These practices can help to improve soil quality and increase crop yields. 
12,962179, The Salvation Army was founded in 1865. It is a Christian church and international charitable organization. The Salvation Army provides a wide range of social services including food assistance shelter and disaster relief. It is active in over 130 countries around the world. 
13,1117099, An active margin is a region where the Earth s tectonic plates are moving apart. This can lead to earthquakes volcanic eruptions and mountain building. Active margins are found along the Pacific Ring of Fire and the Mid Atlantic Ridge. They are important for the creation of new ocean crust and the recycling of old crust. 
14,148538, A registered nurse RN has completed a nursing program and passed the National Council Licensure Examination for Registered Nurses NCLEX RN . They are qualified to provide basic nursing care such as administering medications taking vital signs and providing emotional support. A Bachelor of Science in Nursing BSN is a four year degree that prepares nurses for leadership and advanced practice roles. BSN nurses are qualified to provide more complex care such as managing chronic diseases coordinating care with other healthcare providers and conducting research. 
15,451602, Medicare defines mechanical ventilation as the provision of positive pressure ventilation to a patient who is unable to breathe on their own. This can be done using a ventilator which is a machine that helps to force air into the lungs. Mechanical ventilation is often used to treat patients with respiratory failure pneumonia and other lung conditions. It can be a life saving treatment but it can also have serious side effects. 
16,359349, The midsegment of a trapezoid is the line segment that connects the midpoints of the two bases. It is parallel to the bases and is equal to half the sum of the bases. The midsegment of a trapezoid can be used to divide the trapezoid into two congruent trapezoids. 
17,1115776, An AML anti money laundering surveillance analyst is responsible for monitoring financial transactions for suspicious activity that may indicate money laundering. They use a variety of tools and techniques to identify suspicious transactions such as transaction monitoring software and data analysis. AML surveillance analysts play an important role in preventing money laundering and protecting the financial system. 
18,1112341, Most Thai people wake up early and start their day with a bowl of rice porridge. They typically work long hours often six days a week. After work they may spend time with their families or friends or they may relax at home. Thai people also enjoy spending time outdoors and they often participate in traditional festivals and ceremonies. Family and community are important values in Thai culture. 
19,131843, A SIGMET is a weather advisory issued by a meteorological agency to warn of potentially hazardous weather conditions that may affect aviation. These conditions can include severe thunderstorms icing turbulence and volcanic ash. SIGMETs are issued for specific areas and are valid for a limited time. Pilots are required to check for SIGMETs before taking off and while en route. SIGMETs help to ensure the safety of air travel. 
