,qid,query
0,156493, goldfish grow size age tank food water temperature 
1,1110199, wifi bluetooth wireless data range speed devices applications 
2,1063750, US WW1 voluntary reasons politics economics military alliances Germany 
3,130510, judgment court rights declaration remedies jurisdiction 
4,489204, pain right pelvis endometriosis inflammation cysts pregnancy miscarriage infection muscle stress 
5,573724, health socioeconomic education income occupation housing healthcare food support environment racism sexism 
6,1133167, Jamaica weather temperature rain wind clouds sun 
7,527433, dysarthria cerebral spastic athetoid ataxic mixed hyperkinetic hypokinetic 
8,1037798, Robert Gray 
9,915593, meat fish poultry vegetables eggs fruit dessert 
10,264014, flea egg larva pupa adult duration environment 
11,1121402, erosion runoff sediment degradation 
12,962179, Salvation Army William Booth 1865 
13,1117099, margin subduction arc earthquake tectonics 
14,148538, RN BSN education practice salary 
15,451602, Medicare ventilation device criteria coverage 
16,359349, midsegment trapezoid parallel midpoint formula property 
17,1115776, AML surveillance analyst transactions monitoring investigation compliance 
18,1112341, Thailand people culture religion family work leisure 
19,131843, SIGMET weather aviation phenomenon warnings information 
20,104861, concrete flooring cost material labor installation size finish 
21,833860, Switzerland food fondue chocolate cheese rosti raclette 
22,207786, sharks warm blooded endothermic rete mirabile countercurrent heat metabolism 
23,1132213, bow pose yoga pose yoga hold time duration safety flexibility strength benefits beginner alignment variations modifications breathing core backbend pranayama yoga styles risks injuries warmup cooldown muscles affected energy systems used physiological effects common mistakes yoga props for modifications yoga anatomy 
24,1114819, durable medical equipment DME wheelchairs prosthetics oxygen tanks hospital beds walkers nebulizers 
25,183378, exons genes DNA protein coding non coding transcription 
26,1106007, visceral organs internal body abdomen thorax brain 
27,1124210, tracheids xylem vascular tissue water transport plants trees 
28,287683, liberty ships brunswick location number quantity built shipyard world war ii historical event cargo atlantic ocean construction history design production impact contribution allied forces logistics germany u boats challenges nickname economy workers social impact preservation specific brunswick locations maine georgia germany shipyard capacity construction materials timeline of construction economic impact of liberty ships cultural significance of liberty ships famous liberty ships 
29,490595, RSA public key private key encryption decryption cryptography 
30,1103812, CIS Soviet Union Russia Ukraine Belarus 
31,87181, LVH hypertension aortic stenosis hypertrophic cardiomyopathy valvular heart disease 
32,443396, LPS laws securities crowdfunding exemptions regulations 
33,87452, PTSD depression anxiety combat stress access to firearms lack of support 
34,855410, Theraderm skincare acne rosacea eczema psoriasis 
35,1114646, Famvir antiviral shingles cold sores chickenpox Epstein Barr virus 
36,19335, environment culture society humans adaptation resources 
37,47923, axon terminal knob synapse neuron neurotransmission communication 
38,405717, CDG airport Paris France location 
39,182539, function monotonic increasing decreasing constant exponential logarithmic 
40,1113437, spruce tree conifer needle like leaves cones evergreen bark 
41,1129237, hydrogen liquid temperature boiling point freezing point Kelvin Celsius 
42,146187, McDouble Double Cheeseburger McDonald s ingredients cheese price size 
