,qid,query
0,156493,do goldfish grow goldfish grow size age tank food water temperature 
1,1110199,what is wifi vs bluetooth wifi bluetooth wireless data range speed devices applications 
2,1063750,why did the us volunterilay enter ww1 US WW1 voluntary reasons politics economics military alliances Germany 
3,130510,definition declaratory judgment judgment court rights declaration remedies jurisdiction 
4,489204,right pelvic pain causes pain right pelvis endometriosis inflammation cysts pregnancy miscarriage infection muscle stress 
5,573724,what are the social determinants of health health socioeconomic education income occupation housing healthcare food support environment racism sexism 
6,1133167,how is the weather in jamaica Jamaica weather temperature rain wind clouds sun 
7,527433,types of dysarthria from cerebral palsy dysarthria cerebral spastic athetoid ataxic mixed hyperkinetic hypokinetic 
8,1037798,who is robert gray Robert Gray 
9,915593,what types of food can you cook sous vide meat fish poultry vegetables eggs fruit dessert 
10,264014,how long is life cycle of flea flea egg larva pupa adult duration environment 
11,1121402,what can contour plowing reduce erosion runoff sediment degradation 
12,962179,when was the salvation army founded Salvation Army William Booth 1865 
13,1117099,what is a active margin margin subduction arc earthquake tectonics 
14,148538,difference between rn and bsn RN BSN education practice salary 
15,451602,medicare s definition of mechanical ventilation Medicare ventilation device criteria coverage 
16,359349,how to find the midsegment of a trapezoid midsegment trapezoid parallel midpoint formula property 
17,1115776,what is an aml surveillance analyst AML surveillance analyst transactions monitoring investigation compliance 
18,1112341,what is the daily life of thai people Thailand people culture religion family work leisure 
19,131843,definition of a sigmet SIGMET weather aviation phenomenon warnings information 
20,104861,cost of interior concrete flooring concrete flooring cost material labor installation size finish 
21,833860,what is the most popular food in switzerland Switzerland food fondue chocolate cheese rosti raclette 
22,207786,how are some sharks warm blooded sharks warm blooded endothermic rete mirabile countercurrent heat metabolism 
23,1132213,how long to hold bow in yoga bow pose yoga pose yoga hold time duration safety flexibility strength benefits beginner alignment variations modifications breathing core backbend pranayama yoga styles risks injuries warmup cooldown muscles affected energy systems used physiological effects common mistakes yoga props for modifications yoga anatomy 
24,1114819,what is durable medical equipment consist of durable medical equipment DME wheelchairs prosthetics oxygen tanks hospital beds walkers nebulizers 
25,183378,exons definition biology exons genes DNA protein coding non coding transcription 
26,1106007,define visceral visceral organs internal body abdomen thorax brain 
27,1124210,tracheids are part of tracheids xylem vascular tissue water transport plants trees 
28,287683,how many liberty ships were built in brunswick liberty ships brunswick location number quantity built shipyard world war ii historical event cargo atlantic ocean construction history design production impact contribution allied forces logistics germany u boats challenges nickname economy workers social impact preservation specific brunswick locations maine georgia germany shipyard capacity construction materials timeline of construction economic impact of liberty ships cultural significance of liberty ships famous liberty ships 
29,490595,rsa definition key RSA public key private key encryption decryption cryptography 
30,1103812,who formed the commonwealth of independent states CIS Soviet Union Russia Ukraine Belarus 
31,87181,causes of left ventricular hypertrophy LVH hypertension aortic stenosis hypertrophic cardiomyopathy valvular heart disease 
32,443396,lps laws definition LPS laws securities crowdfunding exemptions regulations 
33,87452,causes of military suicide PTSD depression anxiety combat stress access to firearms lack of support 
34,855410,what is theraderm used for Theraderm skincare acne rosacea eczema psoriasis 
35,1114646,what is famvir prescribed for Famvir antiviral shingles cold sores chickenpox Epstein Barr virus 
36,19335,anthropological definition of environment environment culture society humans adaptation resources 
37,47923,axon terminals or synaptic knob definition axon terminal knob synapse neuron neurotransmission communication 
38,405717,is cdg airport in main paris CDG airport Paris France location 
39,182539,example of monotonic function function monotonic increasing decreasing constant exponential logarithmic 
40,1113437,what is physical description of spruce spruce tree conifer needle like leaves cones evergreen bark 
41,1129237,hydrogen is a liquid below what temperature hydrogen liquid temperature boiling point freezing point Kelvin Celsius 
42,146187,difference between a mcdouble and a double cheeseburger McDouble Double Cheeseburger McDonald s ingredients cheese price size 
