,qid,query
0,156493, goldfish growth stages goldfish size how fast do goldfish grow goldfish care tips aquarium fish growth goldfish development optimal goldfish conditions goldfish lifespan goldfish varieties goldfish tank size 
1,1110199, wifi vs cellular data wifi range extenders bluetooth headphones wireless technology bluetooth speakers wifi vs ethernet bluetooth security internet of things wireless networking connected devices 
2,1063750, causes of WW1 Zimmerman telegram Lusitania sinking US neutrality World War 1 US foreign policy WW1 trench warfare Treaty of Versailles World War 1 timeline assassination of Archduke Franz Ferdinand Allied Powers vs Central Powers 
3,130510, legal definitions types of legal judgments declarative relief court orders injunctions civil procedure jurisprudence contract law legal remedies civil lawsuits 
4,489204, pelvic pain in women lower abdominal pain appendicitis symptoms endometriosis UTI symptoms ovarian cysts kidney stones digestive disorders pelvic inflammatory disease menstrual cramps 
5,573724, health disparities social factors in health health equity public health economic factors in health healthcare access poverty and health environmental health racism and health education and health 
6,1133167, Jamaica climate tropical weather Jamaica vacation Caribbean weather Jamaica beaches hurricane season Jamaica Jamaica travel Jamaica resorts best time to visit Jamaica Jamaica tourism 
7,527433, speech disorders cerebral palsy symptoms neurological disorders spastic dysarthria ataxic dysarthria communication disorders speech therapy muscle weakness developmental disabilities assistive technology 
8,1037798, American explorers maritime history Pacific Northwest Columbia River fur trade Lewis and Clark expedition Oregon history 18th century history colonial America ship captains 
9,915593, sous vide recipes steak sous vide sous vide chicken sous vide fish sous vide vegetables precision cooking immersion circulator vacuum sealing food gourmet cooking sous vide eggs 
10,264014, flea eggs flea larvae flea pupae flea bites pet parasites pest control insecticides flea prevention flea infestation insect life cycles 
11,1121402, soil erosion control sustainable agriculture water runoff management conservation tillage terracing land management practices agricultural techniques crop yield improvement soil fertility flood mitigation 
12,962179, William Booth Catherine Booth history of Christianity social reform movements 19th century history charitable organizations Methodist Church religious history philanthropy poverty alleviation 
13,1117099, plate tectonics convergent boundaries divergent boundaries transform boundaries earthquakes volcanoes subduction zones geology ocean trenches mountain formation 
14,148538, nursing degrees nursing education associate degree in nursing bachelor of science in nursing scope of practice healthcare careers nursing advancement hospital nursing patient care nurse specialization 
15,451602, Medicare coverage respiratory therapy medical devices durable medical equipment healthcare reimbursement invasive ventilation non invasive ventilation respiratory failure medical billing insurance policies 
16,359349, trapezoid properties midsegment theorem geometry formulas polygon properties parallel lines midpoints measurement in geometry quadrilaterals coordinate geometry proofs in geometry 
17,1115776, anti money laundering financial crime compliance bank secrecy act know your customer KYC suspicious activity reports SARs fraud detection regulatory agencies risk assessment financial investigations 
18,1112341, Thai culture Southeast Asia Buddhism in Thailand Thai food Thai language daily routines family life in Thailand work life balance Thailand Thai traditions travel to Thailand 
19,131843, aviation weather meteorology severe weather warnings pilot safety convective weather turbulence air traffic control weather forecasting meteorological terminology aviation hazards 
20,104861, home renovation polished concrete concrete staining flooring options interior design decorative concrete home improvement costs flooring contractors durable flooring industrial flooring 
21,833860, Swiss cuisine Swiss cheese fondue raclette R sti Swiss chocolate Bircher muesli traditional Swiss dishes regional Swiss food popular Swiss restaurants 
22,207786, endothermic animals fish thermoregulation shark adaptations marine biology shark anatomy countercurrent heat exchange fish circulatory system warm blooded fish species predator physiology ocean ecosystems 
23,1132213, warrior pose yoga postures yoga for beginners vinyasa yoga breathwork in yoga yoga alignment yoga benefits holding yoga poses mindfulness in yoga types of yoga 
24,1114819, DME coverage Medicare benefits medical supplies hospital beds wheelchairs oxygen equipment walkers healthcare reimbursement assistive devices prosthetics 
25,183378, coding regions introns gene expression transcription RNA splicing genetics mRNA central dogma of biology DNA structure molecular biology 
26,1106007, internal organs anatomical terms visceral pain autonomic nervous system abdominal anatomy thoracic anatomy visceral peritoneum medical terminology physiology body systems 
27,1124210, vascular plants xylem phloem plant anatomy water transport in plants plant cells botany gymnosperms angiosperms plant tissues 
28,287683, World War II shipbuilding Georgia history maritime history Liberty shipyards Brunswick Georgia wartime production United States shipbuilding industrial history military history ship construction 
29,490595, cryptography public key encryption asymmetric encryption digital signatures computer security RSA algorithm cybersecurity data protection encryption standards mathematical algorithms 
30,1103812, Soviet Union collapse post Soviet states Russian history geopolitics Cold War international relations Belarus Ukraine Commonwealth of Nations Eurasian Economic Union 
