,qid,query
0,156493, goldfish growth size tank size lifespan diet care water quality temperature oxygen overcrowding stunting stress disease genetics 
1,1110199, wifi bluetooth wireless network connection range speed security data transfer internet access devices frequency interference applications comparison 
2,1063750, WW1 United States voluntary entry reasons unrestricted submarine warfare Lusitania sinking Zimmermann telegram German atrocities public opinion President Wilson neutrality moral obligation Allied powers defense of democracy economic interests 
3,130510, declaratory judgment legal definition court order future rights legal status contract disputes property rights intellectual property constitutional rights administrative law equitable relief legal remedy burden of proof appeal judicial review 
4,489204, right pelvic pain causes women s health pelvic floor endometriosis pelvic inflammatory disease ovarian cysts ectopic pregnancy irritable bowel syndrome interstitial cystitis urinary tract infections appendicitis muscle strain nerve entrapment diagnosis treatment 
5,573724, social determinants of health health inequalities social factors economic factors environmental factors access to healthcare education employment income housing social support discrimination stress behavior public health policy interventions 
6,1133167, Jamaica weather temperature humidity wind precipitation forecast climate tropical rainy season dry season hurricane season travel outdoor activities clothing 
7,527433, dysarthria cerebral palsy spastic dysarthria ataxic dysarthria hyperkinetic dysarthria mixed dysarthria flaccid dysarthria hypokinetic dysarthria speech disorders motor speech disorders neurological disorders communication disorders 
8,1037798, Robert Gray astronomer meteorologist inventor scientist telescope ocean currents weather forecasting marine chronometer Royal Society British history scientific instruments 
9,915593, sous vide cooking vacuum sealing water bath precise temperature meat fish eggs vegetables desserts tenderness juiciness flavor food safety recipes 
10,264014, flea life cycle egg larva pupa adult parasite cat flea dog flea human flea pests disease vectors bite itching allergic reactions flea control 
11,1121402, contour plowing soil erosion conservation practice agriculture sloping land contour lines water runoff soil fertility crop yields sustainability environmental benefits 
12,962179, Salvation Army Christian charity social welfare organization William Booth Catherine Booth evangelism social services disaster relief poverty alleviation humanitarianism religious organization Christian history 
13,1117099, active margin plate tectonics subduction zone convergent plate boundary volcanoes earthquakes mountain ranges ocean trenches geological processes earth science 
14,148538, RN BSN registered nurse bachelor of science in nursing education requirements licensure scope of practice job duties salary career outlook nursing specialties 
15,451602, mechanical ventilation Medicare ventilator respiratory failure ARDS COPD home care rehabilitation coverage criteria billing and coding medical terminology 
16,359349, midsegment trapezoid formula non parallel sides midpoints parallel lines base lengths geometry measurement calculation diagram proof theorem math problem solving 
17,1115776, AML surveillance analyst financial transactions money laundering fraud detection compliance risk assessment regulatory requirements financial institutions data analysis reporting investigations anti money laundering financial crime compliance officer 
18,1112341, Thai people daily life culture religion food family work leisure festivals traditions social norms values community clothing language 
19,131843, SIGMET significant meteorological information aviation weather flight safety hazardous weather warnings advisories turbulence icing thunderstorms volcanic ash tropical cyclones meteorology air traffic control pilots 
20,104861, interior concrete flooring cost installation materials labor square footage finishing durability maintenance polished concrete stained concrete stamped concrete epoxy coatings tile hardwood 
21,833860, popular food Switzerland cheese chocolate fondue r sti raclette Z rcher Geschnetzeltes Bratwurst Bircherm esli regional specialties cultural dishes cuisine food tourism gastronomy 
22,207786, sharks warm blooded endothermy metabolism body temperature great white shark mako shark porbeagle shark thresher shark swimming muscles countercurrent heat exchange adaptation evolution marine biology ecology 
23,1132213, bow pose yoga hold time duration safety flexibility strength benefits beginner alignment variations modifications breathing core backbend pranayama yoga styles risks injuries warmup cooldown 
24,1114819, durable medical equipment DME medical devices Medicare coverage wheelchairs hospital beds oxygen tanks nebulizers canes crutches walkers bathroom safety equipment wound care supplies prosthetic limbs home healthcare 
25,183378, exons biology genes DNA transcription RNA protein synthesis coding sequences non coding sequences introns gene expression genome genetics molecular biology cell biology 
26,1106007, visceral deep internal organs abdomen thorax anatomy physiology medicine related to the viscera deep seated emotions 
27,1124210, tracheids xylem plant cells water transport vascular tissue non living cells lignin secondary xylem plant anatomy botany 
28,287683, liberty ships brunswick number built shipyard world war ii cargo atlantic construction history design production impact contribution allied forces logistics germany u boats challenges nickname economy workers social impact preservation 
29,490595, RSA Rivest Shamir Adleman asymmetric cryptography public key private key encryption decryption digital signatures cybersecurity cryptography 
30,1103812, Commonwealth of Independent States CIS Soviet Union post Soviet states Russia Ukraine Belarus Kazakhstan Central Asia international relations geopolitics 
31,87181, left ventricular hypertrophy LVH enlarged heart heart disease high blood pressure aortic stenosis hypertrophic cardiomyopathy heart failure cardiovascular health echocardiography treatment options 
32,443396, LPS Limited Public Safety government surveillance privacy concerns police powers data collection civil liberties law enforcement national security legal challenges 
33,87452, military suicide post traumatic stress disorder depression anxiety military culture combat stress access to mental healthcare veteran suicide prevention stigma mental health awareness military support 
34,855410, Theraderm skin care product acne treatment rosacea eczema psoriasis anti aging ingredients side effects skin care routine dermatology 
35,1114646, Famvir famciclovir antiviral drug herpes virus infections shingles cold sores genital herpes treatment prevention dosage side effects drug interactions 
36,19335, anthropological environment anthropology cultural ecology human environment interaction cultural landscapes adaptation resource use social ecological systems environmental change sustainability human impact 
37,47923, axon terminals synaptic knobs neurons synapse neurotransmission neural communication presynaptic neuron postsynaptic neuron neurotransmitters action potential nervous system 
38,405717, CDG airport Charles de Gaulle Airport Paris France international airport main airport transportation air travel location distance to city center travel options 
39,182539, monotonic function mathematics calculus increasing function decreasing function non decreasing function non increasing function derivative one to one function graph examples applications 
40,1113437, spruce coniferous tree evergreen needle leaves cones forest ecology wood products Christmas trees species physical characteristics growth patterns 
41,1129237, hydrogen liquid temperature boiling point cryogenic liquid hydrogen properties uses chemistry physics thermodynamics 
42,146187, McDouble Double Cheeseburger McDonald s fast food hamburgers ingredients calories price differences similarities menu choices 
