,qid,query
0,156493,Goldfish growth environment tank size water quality diet health space conditions
1,1110199,Wi Fi Bluetooth wireless connections internet devices range data transfer power consumption
2,1063750,U.S. WWI German unrestricted submarine warfare Zimmerman Telegram Allies neutrality entry democracy
3,130510,Declaratory judgment legal rights obligations parties court clarification relationships civil dispute
4,489204,Right pelvic pain causes gynecological gastrointestinal urinary musculoskeletal diagnosis treatment conditions
5,573724,Social determinants health economic social conditions education income healthcare disparities outcomes
6,1133167,Jamaica weather tropical climate wet season dry season temperature tourism rainfall
7,527433,Dysarthria cerebral palsy spastic ataxic flaccid speech therapy neurological impairments communication
8,1037798,Robert Gray American sea captain Pacific Northwest Columbia River exploration 18th century
9,915593,Sous vide cooking meats vegetables eggs temperature control moisture culinary techniques
10,264014,Flea life cycle egg larva pupa adult environmental conditions pest control development
11,1121402,Contour plowing soil erosion water runoff sustainable agriculture land contours farming technique
12,962179,Salvation Army William Booth founded 1865 London social aid Christian evangelism global expansion
13,1117099,Active margin tectonic activity earthquakes volcanic eruptions continental plates geological features subduction
14,148538,RN BSN nursing education degree healthcare leadership roles academic qualifications career opportunities
15,451602,Mechanical ventilation Medicare respiratory support critical care patients breathing assistance healthcare technology
16,359349,Midsegment trapezoid geometry parallel bases mathematical properties calculation education design applications
17,1115776,AML surveillance analyst financial transactions money laundering detection banking compliance financial industry
18,1112341,Thailand daily life Buddhism culture meals rice family community social harmony
19,131843,SIGMET aviation weather safety turbulence icing volcanic ash flight operations meteorological information
20,104861,Interior concrete flooring cost design durability maintenance modern aesthetic residential commercial installation
21,833860,Fondue Switzerland popular food cheese communal dish dining tradition culinary heritage social meals
22,207786,Sharks warm blooded great white mako regional endothermy hunting efficiency cold waters adaptation
23,1132213,Yoga bow pose duration flexibility strength back muscles posture improvement practice health benefits
24,1114819,Durable medical equipment healthcare wheelchairs oxygen tanks insurance coverage patient care medical use
25,183378,Exons biology gene expression mRNA protein synthesis genetic information coding regions DNA
26,1106007,Visceral pain internal organs diagnosis treatment somatic pain healthcare body discomfort
27,1124210,Tracheids xylem plants water transport mineral transport structural support plant health vascular tissue
28,287683,Liberty ships Brunswick Georgia WWII shipbuilding industrial effort war supply strategic importance
29,490595,RSA encryption key security data transmission public key private key cryptography digital communication
30,1103812,Commonwealth of Independent States CIS Soviet Union dissolution cooperation political economic member states
31,87181,Left ventricular hypertrophy causes hypertension heart disease treatment cardiac workload health risks diagnosis
32,443396,LPS laws California mental health involuntary commitment treatment rights psychiatric care legal reform
33,87452,Military suicide causes mental health stress service related prevention support intervention armed forces
34,855410,Theraderm skincare treatment products skin health rejuvenation ingredients beauty dermatology
35,1114646,Famvir antiviral medication herpes virus treatment symptoms reduction outbreak management pharmaceuticals healthcare
36,19335,Environment anthropology physical social cultural human interactions study practices cultural beliefs
37,47923,Axon terminals synaptic knob neurons neurotransmission electrical impulses chemical signals nervous system brain function
38,405717,CDG airport Paris international travel transportation location connectivity public transport airport facilities
39,182539,Monotonic function mathematics increase decrease consistency analysis modeling economic theory statistical applications
40,1113437,Spruce physical description conical shape needles cones ecology commercial use forestry habitat
41,1129237,Hydrogen liquid state temperature boiling point rocketry clean fuel cryogenics energy source
42,146187,McDouble Double Cheeseburger McDonald s cheese fast food nutritional differences menu options taste profile
